timbr_id	timbr_value
RCR30568_f	112866.170025723
RCR30569_f	114016.123801323
RCR30570_f	114797.457512729
RCR30571_f	113928.02829362
RCR30572_f	115415.846480026
RCR30573_f	112893.148204698
RCR30574_f	112602.581499667
RCR30575_f	116005.560299604
RCR30576_f	115886.308271271
RCR30577_f	164824.084595344
RCR30578_f	167124.618945464
RCR30579_f	167656.96348459
RCR30580_f	113941.17608684
RCR30581_f	114219.572807429
RCR30582_f	115777.665802104
RCR30583_f	119161.653257749
RCR30584_f	158778.910759454
RCR30585_f	163123.555369203
RCR30586_f	116301.704297692
RCR30587_f	115934.237546617
RCR30588_f	113052.590947604
RCR30589_f	161604.993352207
RCR30590_f	129513.765241852
RCR30591_f	115035.314780026
RCR30592_f	134554.245240864
RCR30593_f	115414.890542979
RCR30594_f	133293.224407531
RCR30595_f	113298.275682648
RCR30596_f	120784.891502167
RCR30597_f	158642.787940618
RCR30598_f	125037.374510313
RCR30599_f	113853.221162312
RCR30600_f	114784.482644654
RCR30601_f	166832.239024812
RCR30602_f	117753.709939458
RCR30603_f	112535.95940206
RCR30604_f	112620.273152729
RCR30605_f	112595.641664729
RCR30606_f	113193.714280679
RCR30607_f	120313.212263083
RCR30608_f	117334.7739985
RCR30609_f	117465.404233796
RCR30610_f	120635.122873771
RCR30611_f	127931.168385656
RCR30612_f	116298.921155804
RCR30613_f	116379.714805946
RCR30614_f	142366.31412313
RCR30615_f	160520.50104394
RCR30616_f	138518.416746167
RCR30617_f	129548.195340804
RCR30618_f	115878.953928823
RCR30619_f	132655.434009216
RCR30620_f	149628.71800096
RCR30621_f	113411.968175063
RCR30622_f	126074.563177323
RCR30623_f	140359.269211054
RCR30624_f	113611.346940723
RCR30625_f	114936.109486938
RCR30626_f	120721.495269731
RCR30627_f	162780.982024551
RCR30628_f	157767.91193152
RCR30629_f	114153.276969179
RCR30630_f	113346.057913406
RCR30631_f	115440.719884854
RCR30632_f	167210.862749876
RCR30633_f	115568.857708458
RCR30634_f	112504.61589406
RCR30635_f	112617.18889306
RCR30636_f	112888.690726285
RCR30637_f	112818.024921723
RCR30638_f	113495.851227223
RCR30639_f	112650.55766206
RCR30640_f	114308.01927362
RCR30641_f	115134.726757573
RCR30642_f	113725.746400208
RCR30643_f	123941.195269729
RCR30644_f	127915.627345417
RCR30645_f	115437.779881281
RCR30646_f	118813.845089615
RCR30647_f	121990.206132455
