timbr_id	timbr_value
RCR30002_f	152261.908397167
RCR30004_f	136363.41008625
RCR30005_f	125065.798645
RCR30006_f	121125.849453
RCR30008_f	121009.8309
RCR30009_f	133154.083515
RCR30010_f	120420.777821
RCR30012_f	159396.616000304
RCR30013_f	124153.027665
RCR30014_f	124944.50811
RCR30015_f	122048.149095
RCR30016_f	119929.2309
RCR30021_f	146805.220992674
RCR30022_f	121824.5042975
RCR30024_f	154905.328633
RCR30025_f	124485.842804667
RCR30027_f	126192.99886625
RCR30031_f	120176.1803235
RCR30032_f	125642.525195
RCR30033_f	125548.048645
RCR30036_f	164368.711275924
RCR30037_f	123754.600721
RCR30039_f	206268.27596835
RCR30041_f	141133.5297775
RCR30042_f	125010.189945833
RCR30045_f	132664.722274167
RCR30046_f	131345.112382847
RCR30047_f	120887.431749333
RCR30048_f	129643.12704
RCR30049_f	156817.982671516
RCR30050_f	158125.230322677
RCR30051_f	119961.9666
RCR30052_f	140796.351433333
RCR30053_f	122057.388479333
RCR30054_f	148134.02445875
RCR30059_f	157280.53036
RCR30060_f	144487.697715
RCR30062_f	132849.433385903
RCR30063_f	126208.05303875
RCR30065_f	158035.705222087
RCR30066_f	158418.447222739
RCR30067_f	136055.95164
RCR30068_f	133340.024471782
RCR30070_f	136752.61837
RCR30072_f	131892.398734444
RCR30073_f	177415.164828
RCR30074_f	160120.267018917
RCR30075_f	159268.732474219
RCR30076_f	157709.731063417
RCR30077_f	141350.133834001
RCR30078_f	131066.588584919
RCR30079_f	175653.860468573
RCR30080_f	129549.513
RCR30081_f	146835.848958125
RCR30082_f	119983.536
RCR30084_f	149986.452203333
RCR30085_f	135008.083515
RCR30086_f	140812.134861667
RCR30087_f	123972.41320175
RCR30089_f	123740.526215
RCR30091_f	143698.007884535
RCR30093_f	141488.989947328
RCR30095_f	120224.574
RCR30096_f	119929.2309
RCR30097_f	140338.9230425
RCR30099_f	125347.4529
RCR30100_f	141434.481791543
RCR30101_f	125421.550235
RCR30102_f	123076.73847
RCR30103_f	157803.134708
RCR30105_f	120432.5588025
RCR30106_f	171816.665789412
RCR30109_f	123785.043977
RCR30111_f	135727.589049198
RCR30115_f	119929.2309
RCR30116_f	127287.21843
RCR30117_f	122387.071590556
RCR30118_f	152770.79244125
RCR30120_f	142400.861007465
RCR30122_f	138770.326959167
RCR30124_f	123763.26296
RCR30125_f	156364.475604833
RCR30126_f	156654.4334845
RCR30127_f	158799.135666974
RCR30130_f	130295.057848461
RCR30131_f	143602.161557995
RCR30132_f	131216.226555
RCR30134_f	148168.517921146
RCR30135_f	181122.118831472
RCR30142_f	152664.142660351
RCR30145_f	122722.51296
RCR30146_f	120024.24495
RCR30147_f	153193.58176636
RCR30148_f	135345.39742941
RCR30154_f	176984.817400828
RCR30157_f	148216.177793853
RCR30158_f	157906.375604834
RCR30159_f	150694.206786667
RCR30160_f	140580.585528333
RCR30161_f	122493.428705333
RCR30163_f	123455.83509425
RCR30168_f	119972.77875
RCR30182_f	161542.156512442
RCR30188_f	120264.680461667
RCR30189_f	120704.8737825
RCR30190_f	121002.421302
RCR30191_f	125646.6170675
RCR30192_f	158413.258046418
RCR30193_f	147008.144680264
RCR30194_f	147936.237945742
RCR30195_f	146949.639537406
RCR30196_f	148776.738977885
RCR30197_f	149694.114583437
RCR30198_f	152763.503163992
RCR30203_f	124254.81997175
RCR30204_f	176762.131745731
RCR30205_f	138607.08670191
RCR30208_f	119929.2309
RCR30210_f	159051.83241253
RCR30211_f	139530.412455619
RCR30212_f	155022.31277975
RCR30213_f	176663.9098775
RCR30215_f	147081.070992674
RCR30216_f	129550.576555
RCR30217_f	123804.321902
RCR30218_f	148979.97258375
RCR30219_f	121226.843493
RCR30221_f	155744.157669121
RCR30223_f	265957.9077275
RCR30224_f	159095.664160095
RCR30225_f	128091.177813588
RCR30226_f	157829.40810164
RCR30228_f	154239.639734986
RCR30229_f	159385.774281185
RCR30230_f	158187.602980899
RCR30232_f	123473.597735
RCR30233_f	124565.730172497
RCR30235_f	176842.819380192
RCR30237_f	128868.7815825
RCR30238_f	141043.884861667
RCR30241_f	123787.191523333
RCR30242_f	122496.45947
RCR30243_f	148529.963680833
RCR30245_f	126325.3513954
RCR30306_f	165252.397864832
RCR30309_f	121121.422195
RCR30310_f	147122.339013685
RCR30311_f	163704.034862268
RCR30312_f	169493.214927031
RCR30313_f	160494.749355659
RCR30315_f	114128.890308854
RCR30321_f	124150.192193333
RCR30322_f	121126.652411667
RCR30325_f	119929.2309
RCR30327_f	169325.701183518
RCR30328_f	129580.993535833
RCR30329_f	120568.3704225
RCR30330_f	121178.526175
RCR30333_f	120273.129883167
RCR30335_f	149269.466104833
RCR30336_f	146459.234218403
RCR30337_f	146498.040661885
RCR30338_f	146826.922288497
RCR30339_f	146904.159262083
RCR30340_f	141055.674756997
RCR30341_f	141268.974756997
RCR30342_f	146913.155199965
RCR30343_f	146799.969739809
