organism_id	rxn_id	rxn_irreversible	rno_acetaminophen_t1_d1_ctl	rno_acetaminophen_t1_d1_trt
rno	RCR10064	RCR10064_f	3.95	1.01
rno	RCR10064	RCR10064_r	3.95	1.01
rno	RCR10065	RCR10065_f	3.95	1.01
rno	RCR10065	RCR10065_r	3.95	1.01
rno	RCR10066	RCR10066_f	3.95	1.01
rno	RCR10066	RCR10066_r	3.95	1.01
rno	RCR10067	RCR10067_f	3.95	1.01
rno	RCR10067	RCR10067_r	3.95	1.01
rno	RCR10068	RCR10068_f	3.95	1.01
rno	RCR10068	RCR10068_r	3.95	1.01
rno	RCR10069	RCR10069_f	3.95	1.01
rno	RCR10069	RCR10069_r	3.95	1.01
rno	RCR10070	RCR10070_f	3.95	1.01
rno	RCR10070	RCR10070_r	3.95	1.01
rno	RCR10071	RCR10071_f	3.95	1.01
rno	RCR10071	RCR10071_r	3.95	1.01
rno	RCR10072	RCR10072_f	3.95	1.01
rno	RCR10072	RCR10072_r	3.95	1.01
rno	RCR10073	RCR10073_f	3.95	1.01
rno	RCR10073	RCR10073_r	3.95	1.01
rno	RCR10074	RCR10074_f	3.95	1.01
rno	RCR10074	RCR10074_r	3.95	1.01
rno	RCR10075	RCR10075_f	3.95	1.01
rno	RCR10075	RCR10075_r	3.95	1.01
rno	RCR10076	RCR10076_f	3.95	1.01
rno	RCR10076	RCR10076_r	3.95	1.01
rno	RCR10077	RCR10077_f	3.95	1.01
rno	RCR10077	RCR10077_r	3.95	1.01
rno	RCR10078	RCR10078_f	3.95	1.01
rno	RCR10078	RCR10078_r	3.95	1.01
rno	RCR10079	RCR10079_f	3.95	1.01
rno	RCR10079	RCR10079_r	3.95	1.01
rno	RCR10080	RCR10080_f	3.95	1.01
rno	RCR10080	RCR10080_r	3.95	1.01
rno	RCR10081	RCR10081_f	3.95	1.01
rno	RCR10081	RCR10081_r	3.95	1.01
rno	RCR10082	RCR10082_f	3.95	1.01
rno	RCR10082	RCR10082_r	3.95	1.01
rno	RCR10083	RCR10083_f	0.994	1.01
rno	RCR10083	RCR10083_r	0.994	1.01
rno	RCR10084	RCR10084_f	1.12	0.889
rno	RCR10084	RCR10084_r	1.12	0.889
rno	RCR10085	RCR10085_f	1.83	2.19
rno	RCR10085	RCR10085_r	1.83	2.19
rno	RCR10086	RCR10086_f	0.51	1.96
rno	RCR10086	RCR10086_r	0.51	1.96
rno	RCR10087	RCR10087_f	1.01	0.988
rno	RCR10087	RCR10087_r	1.01	0.988
rno	RCR10088	RCR10088_f	1.07	0.934
rno	RCR10088	RCR10088_r	1.07	0.934
rno	RCR10089	RCR10089_f	1.15	0.87
rno	RCR10089	RCR10089_r	1.15	0.87
rno	RCR10090	RCR10090_f	1.08	0.928
rno	RCR10090	RCR10090_r	1.08	0.928
rno	RCR10091	RCR10091_f	2.33	1.72
rno	RCR10091	RCR10091_r	2.33	1.72
rno	RCR10092	RCR10092_f	4	4
rno	RCR10092	RCR10092_r	4	4
rno	RCR10093	RCR10093_f	0.92	1.09
rno	RCR10093	RCR10093_r	0.92	1.09
rno	RCR10094	RCR10094_f	0.92	1.09
rno	RCR10094	RCR10094_r	0.92	1.09
rno	RCR10095	RCR10095_f	1.16	0.86
rno	RCR10095	RCR10095_r	1.16	0.86
rno	RCR10096	RCR10096_f	1.01	0.988
rno	RCR10096	RCR10096_r	1.01	0.988
rno	RCR10097	RCR10097_f	0.756	1.32
rno	RCR10097	RCR10097_r	0.756	1.32
rno	RCR10098	RCR10098_f	2.16	1.85
rno	RCR10098	RCR10098_r	2.16	1.85
rno	RCR10099	RCR10099_f	1.01	0.988
rno	RCR10099	RCR10099_r	1.01	0.988
rno	RCR10100	RCR10100_f	1.01	0.988
rno	RCR10100	RCR10100_r	1.01	0.988
rno	RCR10101	RCR10101_f	1.01	0.988
rno	RCR10101	RCR10101_r	1.01	0.988
rno	RCR10102	RCR10102_f	1.07	0.934
rno	RCR10102	RCR10102_r	1.07	0.934
rno	RCR10103	RCR10103_f	2.77	1.44
rno	RCR10103	RCR10103_r	2.77	1.44
rno	RCR10104	RCR10104_f	1.89	2.11
rno	RCR10104	RCR10104_r	1.89	2.11
rno	RCR10105	RCR10105_f	1.39	0.722
rno	RCR10105	RCR10105_r	1.39	0.722
rno	RCR10106	RCR10106_f	1.29	0.775
rno	RCR10106	RCR10106_r	1.29	0.775
rno	RCR10107	RCR10107_f	1	1
rno	RCR10107	RCR10107_r	1	1
rno	RCR10108	RCR10108_f	1.7	2.35
rno	RCR10108	RCR10108_r	1.7	2.35
rno	RCR10109	RCR10109_f	1.07	0.934
rno	RCR10109	RCR10109_r	1.07	0.934
rno	RCR10110	RCR10110_f	1.49	0.67
rno	RCR10110	RCR10110_r	1.49	0.67
rno	RCR10111	RCR10111_f	2.66	1.51
rno	RCR10111	RCR10111_r	2.66	1.51
rno	RCR10112	RCR10112_f	1.07	0.934
rno	RCR10112	RCR10112_r	1.07	0.934
rno	RCR10113	RCR10113_f	1.07	0.934
rno	RCR10113	RCR10113_r	1.07	0.934
rno	RCR10114	RCR10114_f	1.07	0.934
rno	RCR10114	RCR10114_r	1.07	0.934
