timbr_id	timbr_value
RCR30002_f	47796.2138472569
RCR30004_f	34469.7284685204
RCR30005_f	20185.5743449038
RCR30006_f	16676.3037418158
RCR30008_f	17719.1966034708
RCR30009_f	115796.031809513
RCR30010_f	15954.2388375
RCR30012_f	64056.3474176223
RCR30013_f	15371.9043704423
RCR30014_f	21628.8245931106
RCR30015_f	23617.9171169898
RCR30016_f	18320.5028031389
RCR30021_f	41788.3569006019
RCR30022_f	17773.752134231
RCR30024_f	13601.2256538462
RCR30025_f	16622.0733065776
RCR30027_f	18534.6971042521
RCR30031_f	15585.1126771134
RCR30032_f	18666.8477410675
RCR30033_f	19889.378078767
RCR30036_f	94595.539440307
RCR30037_f	16502.983683926
RCR30039_f	111186.376607995
RCR30041_f	46246.7446858737
RCR30042_f	18631.9885155048
RCR30045_f	21496.1560296613
RCR30046_f	20208.0404549542
RCR30047_f	16213.6656696479
RCR30048_f	120827.793918082
RCR30049_f	80629.9378436223
RCR30050_f	85580.2727677214
RCR30051_f	15608.3852194444
RCR30052_f	125630.988158768
RCR30053_f	16792.3264242241
RCR30054_f	43146.3211385097
RCR30059_f	58388.5883683558
RCR30060_f	126664.874763527
RCR30062_f	28816.5599068862
RCR30063_f	20549.8002636279
RCR30065_f	109734.497186773
RCR30066_f	109873.305064925
RCR30067_f	124807.676551571
RCR30068_f	22211.990357265
RCR30070_f	37277.8412897597
RCR30072_f	29894.9386781857
RCR30073_f	63499.8800071636
RCR30074_f	48703.2687704581
RCR30075_f	107644.673677108
RCR30076_f	85048.65523733
RCR30077_f	41930.3289584259
RCR30078_f	19159.6400066535
RCR30079_f	78598.4907764985
RCR30080_f	25677.2910651443
RCR30081_f	32448.2902757015
RCR30082_f	15654.2520534286
RCR30084_f	46058.4272996153
RCR30085_f	119558.015668627
RCR30086_f	34499.8113024573
RCR30087_f	16618.7574128664
RCR30089_f	16652.3061004225
RCR30091_f	49087.4758471045
RCR30093_f	17574.8861975493
RCR30095_f	15807.8429489261
RCR30096_f	17548.7093102319
RCR30097_f	40879.3056350268
RCR30099_f	23557.1889665124
RCR30100_f	19213.2439593101
RCR30101_f	20442.8333042874
RCR30102_f	16094.4439179
RCR30103_f	128310.857837388
RCR30105_f	15814.1446917778
RCR30106_f	112230.943546708
RCR30109_f	16652.9560957411
RCR30111_f	129889.886515889
RCR30115_f	17094.0430747854
RCR30116_f	20467.0701322222
RCR30117_f	18450.30213868
RCR30118_f	46131.809730186
RCR30120_f	31479.6383127483
RCR30122_f	29320.1274718565
RCR30124_f	19136.7102898545
RCR30125_f	53594.8537592548
RCR30126_f	129001.488337933
RCR30127_f	85208.3762328224
RCR30130_f	17924.9479833965
RCR30131_f	32149.8693110855
RCR30132_f	32143.6708740476
RCR30134_f	51694.2927317967
RCR30135_f	103460.174913614
RCR30142_f	44924.0282623129
RCR30145_f	19218.4991153547
RCR30146_f	15720.1511004115
RCR30147_f	51927.3223539456
RCR30148_f	21844.2562848377
RCR30154_f	78739.3400593295
RCR30157_f	76544.0470859996
RCR30158_f	55103.8537592545
RCR30159_f	47460.3018380905
RCR30160_f	32234.7914038406
RCR30161_f	17187.6917958288
RCR30163_f	16453.3002443637
RCR30168_f	15631.3634528251
RCR30182_f	24029.4888634773
RCR30188_f	17814.5160050265
RCR30189_f	16291.55271825
RCR30190_f	16926.9922648229
RCR30191_f	24323.188545115
RCR30192_f	110184.506449061
RCR30193_f	128719.067376362
RCR30194_f	133253.212761212
RCR30195_f	128420.966959092
RCR30196_f	137468.619784129
RCR30197_f	141762.404974785
RCR30198_f	68289.6064658795
RCR30203_f	16621.2473954779
RCR30204_f	75782.7129995045
RCR30205_f	25687.3638515102
RCR30208_f	15601.9050877747
RCR30210_f	83805.766199039
RCR30211_f	40424.0322675236
RCR30212_f	73118.1363637446
RCR30213_f	75664.7002284201
RCR30215_f	42732.3573968824
RCR30216_f	28670.6827542089
RCR30217_f	19301.3409687583
RCR30218_f	44503.7514559471
RCR30219_f	16775.9143018158
RCR30221_f	79850.3520225126
RCR30223_f	164587.743560776
RCR30224_f	83753.8816317815
RCR30225_f	21469.6531400635
RCR30226_f	80770.0563305086
RCR30228_f	46641.2491236002
RCR30229_f	80135.1066057956
RCR30230_f	78196.3717906328
RCR30232_f	16415.2496654175
RCR30233_f	22065.6028166834
RCR30235_f	78236.4108917926
RCR30237_f	27471.3403299254
RCR30238_f	32407.4054848989
RCR30241_f	18361.9265736318
RCR30242_f	18308.2907464887
RCR30243_f	116151.943171377
RCR30245_f	22939.6206073623
RCR30306_f	27824.6379243798
RCR30309_f	19487.7267371007
RCR30310_f	45953.0864700012
RCR30311_f	63566.3136182121
RCR30312_f	63469.6187192159
RCR30313_f	46632.8072870218
RCR30315_f	21896.4741256551
RCR30321_f	18769.2552012277
RCR30322_f	16864.2412129349
RCR30325_f	18264.8269002774
RCR30327_f	13011.4521013086
RCR30328_f	23455.2704983367
RCR30329_f	15969.91731675
RCR30330_f	17468.0839542021
RCR30333_f	16641.8462691034
RCR30335_f	154730.611014739
RCR30336_f	116972.036630164
RCR30337_f	116997.79367744
RCR30338_f	109216.462897837
RCR30339_f	108360.715091634
RCR30340_f	71614.6521567242
