timbr_id	timbr_value
RCR30002_f	51874.3730332338
RCR30004_f	36402.6442957027
RCR30005_f	20556.8359136551
RCR30006_f	16824.6065244224
RCR30008_f	17714.0745025776
RCR30009_f	118417.92649181
RCR30010_f	15969.3920053375
RCR30012_f	57238.352964603
RCR30013_f	15261.3170041803
RCR30014_f	22732.933582444
RCR30015_f	25867.700349697
RCR30016_f	19236.9904168275
RCR30021_f	44765.7831008919
RCR30022_f	17806.2380029248
RCR30024_f	13669.0592307692
RCR30025_f	16592.0124497692
RCR30027_f	18506.0909711119
RCR30031_f	15573.253478375
RCR30032_f	18980.1128366949
RCR30033_f	20103.7697985946
RCR30036_f	96912.4396956377
RCR30037_f	16440.2987319139
RCR30039_f	121093.404604715
RCR30041_f	44769.6616346395
RCR30042_f	18529.8962397484
RCR30045_f	22003.9034922387
RCR30046_f	20877.4788478392
RCR30047_f	16253.1866844664
RCR30048_f	123656.823272792
RCR30049_f	85122.7107920392
RCR30050_f	90803.4658488277
RCR30051_f	15614.0769865385
RCR30052_f	130296.601116666
RCR30053_f	16981.9980351437
RCR30054_f	46626.2562195193
RCR30059_f	64405.8061778056
RCR30060_f	132313.009814227
RCR30062_f	30030.9789067864
RCR30063_f	20542.9367467617
RCR30065_f	121066.574477665
RCR30066_f	119713.074589888
RCR30067_f	128778.445278007
RCR30068_f	22965.7381451923
RCR30070_f	39966.5545363943
RCR30072_f	31711.4809482262
RCR30073_f	56051.6216337347
RCR30074_f	52341.2659247318
RCR30075_f	115349.325897973
RCR30076_f	89195.662426267
RCR30077_f	45214.0595075
RCR30078_f	19293.9250031179
RCR30079_f	77431.369217049
RCR30080_f	26682.8453175893
RCR30081_f	34530.493086994
RCR30082_f	15665.9858611872
RCR30084_f	50140.7199950329
RCR30085_f	122142.61683939
RCR30086_f	36381.936858631
RCR30087_f	16591.6777127692
RCR30089_f	16604.4571596022
RCR30091_f	52444.0384528602
RCR30093_f	17790.2293068375
RCR30095_f	15820.8037665833
RCR30096_f	17647.6572775
RCR30097_f	44138.5062195193
RCR30099_f	24183.1080305674
RCR30100_f	19533.9803970645
RCR30101_f	20610.809050527
RCR30102_f	16602.4633653846
RCR30103_f	132755.8071537
RCR30105_f	15893.441029625
RCR30106_f	115979.500716554
RCR30109_f	16560.0816375519
RCR30111_f	133715.812979773
RCR30115_f	17025.5380365385
RCR30116_f	20391.411075
RCR30117_f	18787.3291897515
RCR30118_f	49103.3201139212
RCR30120_f	32949.1645826894
RCR30122_f	29696.6008631934
RCR30124_f	19557.0020854821
RCR30125_f	59035.6058120892
RCR30126_f	133772.089574914
RCR30127_f	89140.3655611969
RCR30130_f	18069.4863030941
RCR30131_f	33897.6927114103
RCR30132_f	35136.8297532556
RCR30134_f	56340.0273290278
RCR30135_f	115260.359281046
RCR30142_f	42950.6036455293
RCR30145_f	19647.8089836471
RCR30146_f	15730.7444693747
RCR30147_f	58463.5048371284
RCR30148_f	22728.0063283633
RCR30154_f	82321.5976533373
RCR30157_f	82874.8295332732
RCR30158_f	60525.6058120892
RCR30159_f	51748.1053187946
RCR30160_f	33797.49491875
RCR30161_f	17407.5042100619
RCR30163_f	16423.005292247
RCR30168_f	15642.5077526719
RCR30182_f	24288.0669098166
RCR30188_f	18223.400795599
RCR30189_f	16279.226028875
RCR30190_f	16905.8426153849
RCR30191_f	24590.744971988
RCR30192_f	119048.977438442
RCR30193_f	144657.966179444
RCR30194_f	150942.330699361
RCR30195_f	145121.287346854
RCR30196_f	156056.02824593
RCR30197_f	161172.350559214
RCR30198_f	75173.0890619584
RCR30203_f	16592.7414215817
RCR30204_f	79095.450918013
RCR30205_f	26032.1626237077
RCR30208_f	15610.4842990385
RCR30210_f	90411.5944500799
RCR30211_f	43476.0333574983
RCR30212_f	80491.3419982086
RCR30213_f	78960.3988698202
RCR30215_f	46218.8579862096
RCR30216_f	31330.0972121774
RCR30217_f	19517.7492200285
RCR30218_f	48524.902864375
RCR30219_f	16934.8237644224
RCR30221_f	84837.363849178
RCR30223_f	178839.117093106
RCR30224_f	89301.8891354421
RCR30225_f	22265.4819482421
RCR30226_f	85909.3156987139
RCR30228_f	49668.5186399746
RCR30229_f	86738.6099161441
